Category,Sub-Category,Task Description,Status,Notes
Frontend,Authentication,Create UI for Forgot Password,Pending,
Frontend,Prompts,Change design of confirmation prompt for history and saved words deletion,Pending,
Frontend,Prompts,Change design of prompt when copying translated words,Pending,
Frontend,Login/Sign-in,Add see/unsee toggle for password,Pending,
Frontend,Account Information,Move change avatar button from inside account info to the profile picture outside,Pending,
Frontend,Wiki,Fix overlapping text on 'submitted by: ...' where date and views are hidden,Pending,
Frontend,Wiki,Update or fix colors in wiki,Pending,
Frontend,Home,Remove chatbot from home screen,Pending,
Frontend,Responsiveness,Fix UI extending too far down for phones with back/home/recent navigation buttons,Pending,
Frontend,Responsiveness,Fix overlapping 'week' text in streak,Pending,
Frontend,Responsiveness,Fix cut off bookmark button in 'my activities' profile section,Pending,
Backend,Breakdown Analysis,Investigate why breakdown sometimes does not work,Pending,
Backend,Breakdown Analysis,Fix breakdown not working if customized before breakdown,Pending,
Backend,Breakdown Analysis,Fix breakdown missing words,Pending,
Backend,Email Service,Implement email sending to user,Pending,
Backend,Streak Logic,Fix streak showing 3 checks even if account is only 2 days old,Pending,
Backend,Translation,Fix inaccurate translation when input is all-caps,Pending,
Backend,Authentication,Fix auto-login happening immediately after logging out,Pending,
