id,source_text,dialect,context_tag,status,created_at,sentiment_score,weight,standard_term,part_of_speech
0064616d-bcb6-4960-ae4c-67ca80b7bb1b,bunso,General Tagalog,Family,validated,2026-07-24 12:55:37.151387+00,12,1,pinakabata,Noun
0075d941-e252-49e2-8913-4b8191b97701,delikado,General Cebuano,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.2,kuyaw,Adjective
009c2933-6597-4c47-ba95-cb40c91b71ee,Kani,General Cebuano,Pointer,validated,2026-07-06 06:21:53.701666+00,0,1.5,This (object),Phrase
01000c94-2725-4981-82cd-72c643b6cf94,Hinaw,Batangeño,Household,validated,2026-07-06 06:21:53.701666+00,0,1.5,Wash hands,Phrase
0121b393-b685-41d7-815f-1fae9db56713,love bombing,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,sobrang pagpapakita ng pagmamahal,Phrase
01d591f1-1751-4377-8cda-be18bf620f0d,grind,General Tagalog,Work,validated,2026-07-24 12:55:37.151387+00,9,1,pagsisipag,Noun
01ea8e90-0476-4a3b-a0ba-aa867635e8f1,hbd,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,maligayang kaarawan,Phrase
024f0d97-f808-4952-b257-49eb96957e0c,natulog,General Cebuano,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,tulog,Noun
027597c3-2a7f-4bd5-a9c6-dc0cea79f880,mhie,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,mahal,Adjective
0283ae57-7c20-455b-920d-f5697cd3fee1,gg,General Tagalog,Gaming,validated,2026-07-24 12:55:37.151387+00,10,1.5,tapos na,Phrase
02854ba4-6114-4d53-97b0-ed550578bae2,merkado,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,palengke,Noun
029377dc-a0af-47dc-9f97-b6c53ae80826,waja,Boholano,Regional,validated,2026-08-06 09:08:28.867391+00,5,1,wala,Noun
029aa22e-30f7-4517-9154-9e947ba60105,triggered,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1,nagalit,Verb
03088886-1505-4de7-b9ad-5e3441fcbb3c,walang anuman,General Cebuano,Greetings,validated,2026-07-24 12:55:37.151387+00,13,1.5,way sapayan,Phrase
03415c1b-5d02-4c6d-a620-7e8989bcd298,puso,General Tagalog,Flirty,validated,2026-08-06 09:10:03.172001+00,1,1.5,pagmamahal,Adjective
0368af71-2644-4563-834d-906e9c5f12e3,mamati,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.2,makinig,Adjective
03ea46d2-fee1-4f41-bbba-ecf1822dbfea,icymi,General Tagalog,Internet Slang,validated,2026-08-06 09:08:28.867391+00,2,1.5,para sa iyong kaalaman,Phrase
042cd174-afd4-4efd-a7e6-0dbb40c16217,nakatulog na ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,natulog,Phrase
04c30e72-2990-44ad-bead-634684c58f26,G!,General Cebuano,Slang,validated,2026-07-06 06:21:53.701666+00,0,1.5,I'm in/Game,Phrase
051c60c7-9d20-4304-a2ef-e922f13bd3ba,kahapon ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,kahapon,Phrase
060cc404-03d8-4534-af93-38334dca680c,ang hirap,General Tagalog,Sadness,validated,2026-07-24 12:55:37.151387+00,14,1.5,napakahirap,Phrase
061b14d9-7f0c-4407-ab9f-05c779ab9a5b,wfh,General Tagalog,Work,validated,2026-07-24 12:55:37.151387+00,9,1.5,trabaho sa bahay,Phrase
06a70ad6-d1c0-4b4f-988c-9370816b3557,dejk,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,biro lang,Phrase
0700bd1d-8f10-4fd9-aa69-7f402e3c0fad,q,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,ko,Noun
07dfc62a-21e7-44c1-bbad-81e010e8e0ea,mwah,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,halik,Adjective
080bd465-8211-44a5-9b20-6311b8780def,petmalu,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.2,matapang,Adjective
083bf05a-84b8-4e11-9edd-58919825f230,aso ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,aso,Phrase
089c750a-f57b-44e5-a9ce-20decccae468,jusmio,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,diyos ko,Phrase
08ed6ee3-e96d-4be4-906a-a02d5e545c80,hay naku,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,diyos ko,Phrase
08edb983-46aa-4a83-ab99-05956621632e,imo,General Tagalog,Internet Slang,validated,2026-08-06 09:10:03.172001+00,2,1.5,sa tingin ko,Phrase
09989598-649f-4bc0-894a-94def1087f4c,lola ga,Batangeño,Family,validated,2026-07-24 12:55:37.151387+00,12,1.5,lola,Phrase
0a2ec444-83f9-456f-93b4-2fbad493ad89,choz,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,biro lang,Phrase
0a3878c4-92d0-4a01-9ec9-2d7d977cbe8f,mahal,General Cebuano,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,palangga,Adjective
0a38d2f8-4987-4207-88d3-1ade6e9fb60e,kumusta na,Boholano,Greetings,validated,2026-07-24 12:55:37.151387+00,13,1.5,kumusta,Phrase
0a6f274d-344e-4e79-af88-faa22da2af02,niwang,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,payat,Noun
0a87d996-d417-416a-ae9c-2074e4dcb641,lng,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,lang,Noun
0aa59d31-5e9e-413c-90da-6b2259a258c2,smh,General Tagalog,Angry,validated,2026-08-06 09:08:28.867391+00,4,1.2,nakakadismaya,Adjective
0b8661f0-3ae4-481b-bf46-474c345f85c0,Gwapo,General Cebuano,Compliment,validated,2026-07-06 06:21:53.701666+00,0,1.5,Handsome boy,Phrase
0bffe31c-9cbe-4af9-a10d-ad6356494ea3,chz lang,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,biro lang,Phrase
0c008011-2f4c-4fec-a56d-67ea31376330,mamsh,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1,maganda,Verb
0c8bb5df-0df9-49e0-9bad-3a753f145202,dagat ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,dagat,Phrase
0c8c302c-22e8-4e2c-bec0-7ef1fad8fddd,ulitawo,Boholano,Flirty,validated,2026-08-06 09:10:03.172001+00,1,1.2,binata,Adjective
0cf8ef68-2344-49fa-8d1c-0e7b8057ccc9,buang,Boholano,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.2,baliw,Adjective
0cf95419-2141-4fe5-8640-2803b5752e8c,ospital ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,ospital,Phrase
0d270ccd-8493-4668-8ed5-c34ced25734d,boundaries,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,mga hangganan,Phrase
0d28f450-f28e-4d28-b975-f03f6f694f16,pakyu,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.2,galit,Adjective
0d3b32cf-bda5-4ba3-bbbf-04ae7cdd3def,din,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,rin,Noun
0d6dd2b1-9cd3-44b7-88e4-10faf037d883,kaibigan,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,dong,Noun
0d706c12-d4bf-4c2d-b332-aebc5c20c056,aba ganoon,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,ganoon,Phrase
0dcb4fbd-c33b-42e0-9d7a-3b8656ab2b25,inahan,Boholano,Family,validated,2026-07-24 12:55:37.151387+00,12,1,nanay,Verb
0e5dce29-1b87-49a0-8c9f-c540abbce189,understood the assignment,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,naintindihan,Phrase
0e66c624-b698-461b-8898-7b5b41b7388d,gtg,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,kailangan ko na umalis,Phrase
0e76d761-12c7-42cd-8bc4-8f0363a6afe6,nga,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,bitaw,Noun
0eb4c977-2d0f-4b5d-88e3-194b08773583,rank push,General Tagalog,Gaming,validated,2026-07-24 12:55:37.151387+00,10,1.5,pagtaas ng ranggo,Phrase
0eda4c0d-6ee7-4373-bd27-f97e89954c6a,shunga,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.2,tanga,Adjective
0f30d88a-7f94-4c0d-a04d-fd5f4b43858a,based,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,matapang ang opinyon,Phrase
0f551d20-87b1-4dd5-983d-6e93a3c8a08c,napadpad,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,pumunta,Noun
0f98aac5-d6c4-4cea-ac90-04868da33780,ganina,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,kanina,Noun
0fc3d5c4-0f62-4479-9f87-68f27087a4e3,isang kahig isang tuka,General Tagalog,Sadness,validated,2026-08-06 09:08:28.867391+00,14,1.5,walang pera,Phrase
1099bcb3-893e-4b82-8f2c-b08779d8d58c,tulak ng bibig,General Tagalog,Angry,validated,2026-08-06 09:10:03.172001+00,4,1.5,salita lang,Phrase
10a14a6e-467d-49f7-8fe8-4dbedaedc920,ngl,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,sa totoo lang,Phrase
10a451dc-aba8-46c8-bb41-a26e54acfcb3,gamay,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.2,maliit,Adjective
10b97a3d-7871-4b23-b7a8-4f050703be31,vibe,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,pakiramdam,Noun
10e33a1b-28bb-441a-a0cf-4aa1deceb022,aba init,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,mainit,Phrase
10edf732-4bc0-4552-ae8f-57ec24fd5101,resign,General Tagalog,Work,validated,2026-07-24 12:55:37.151387+00,9,1,magbibitiw,Verb
112de085-083a-4673-8d1b-5cca362dab0c,bagang,Batangeño,Regional,validated,2026-08-06 09:10:03.172001+00,5,1,nga,Noun
1133529c-b277-4668-8d2a-71fcdb2b2cde,takaw,General Tagalog,Food,validated,2026-07-24 12:55:37.151387+00,7,1.2,matakaw,Adjective
1166e245-877a-47ed-944b-70bb72a239df,luto,General Tagalog,Food,validated,2026-07-24 12:55:37.151387+00,7,1,nagluto,Verb
11cd27ed-6f2f-4026-9846-3eace0caafc0,simbahan,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,simbahan,Noun
